Unit,T (°C),I (mA),569 (hr),950 (hr),2261 (hr),4397 (hr)
1,77,700,1.0030,0.9848,0.9073,0.8408
2,77,700,0.9943,0.9808,0.9025,0.8442
3,77,700,0.9811,0.9277,0.8115,0.7233
4,77,700,0.9950,0.9722,0.9043,0.7975
5,77,700,0.9930,0.9388,0.8304,0.7085
6,77,700,0.9822,0.9644,0.8925,0.8152
7,77,700,1.0038,0.9860,0.9089,0.8257
8,77,700,0.9971,0.9770,0.9108,0.8368
9,77,500,0.9916,0.9924,0.9175,0.8619
10,77,500,0.9945,0.9929,0.9402,0.8645
11,77,500,0.9859,0.9871,0.9336,0.8560
12,77,500,0.9839,0.9297,0.8636,0.7941
13,77,500,0.9917,0.9839,0.9105,0.8484
14,77,500,0.9892,0.9807,0.9330,0.8428
15,77,500,1.0014,0.9953,0.9369,0.5177
16,77,500,0.9948,0.9886,0.9264,0.8577
17,77,500,1.0249,1.0252,0.9255,0.8479
18,77,500,0.9966,0.9930,0.9357,0.8654
19,77,500,1.0023,1.0008,0.9427,0.8730
20,77,500,1.0035,0.9996,0.9535,0.8785
21,77,500,0.9982,0.9945,0.9503,0.8845
22,77,500,0.9530,0.9548,0.8753,0.6458
23,45,700,1.0010,0.9859,0.9421,0.9130
24,45,700,0.9893,0.9786,0.9398,0.9204
25,45,700,1.0126,0.9998,0.9520,0.9392
26,45,700,1.0065,0.9940,0.9509,0.9063
27,45,700,1.0172,1.0042,0.9697,0.9258
28,45,700,1.0081,0.9999,0.9585,0.9319
29,45,700,1.0077,0.9987,0.9595,0.9177
30,45,700,1.0109,1.0091,0.9584,0.9366
31,45,700,1.0031,0.9872,0.9432,0.8651
32,45,700,1.0083,1.0027,0.9554,0.9192
33,45,700,1.0029,0.9899,0.9344,0.9173
34,45,700,1.0120,1.0029,0.9595,0.9346
35,45,700,1.0099,1.0026,0.9708,0.9194
36,45,700,1.0113,0.9964,0.9532,0.9109
