Time (hrs),Unit 1,Unit 2,Unit 3,Unit 4,Unit 5,Unit 6,Unit 7,Unit 8,Unit 9,Unit 10,Unit 11,Unit 12,Unit 13,Unit 14,Unit 15,Unit 16,Unit 17,Unit 18,Unit 19,Unit 20,Unit 21,Unit 22,Unit 23,Unit 24,Unit 25,Unit 26,Unit 27,Unit 28,Unit 29,Unit 30,Unit 31,Unit 32,Unit 33,Unit 34,Unit 35,Unit 36,Unit 37,Unit 38,Unit 39,Unit 40,Unit 41,Unit 42,Unit 43,Unit 44,Unit 45,Unit 46,Unit 47,Unit 48,Unit 49,Unit 50,Unit 51,Unit 52,Unit 53,Unit 54,Unit 55,Unit 56,Unit 57,Unit 58,Unit 59,Unit 60,Unit 61,Unit 62,Unit 63,Unit 64,Unit 65,Unit 66,Unit 67,Unit 68,Unit 69,Unit 70,Unit 71,Unit 72,Unit 73,Unit 74,Unit 75
336,0.9704,0.9081,0.9483,0.9171,0.9872,1.0151,0.9814,0.9642,0.9262,0.9532,1.0055,0.9793,0.968,0.9284,0.9824,0.9396,0.9439,0.9512,0.9553,0.9747,0.9663,0.9749,0.9289,0.9704,0.9993,0.9538,0.9746,0.9007,0.9188,0.916,0.9361,0.9206,0.9015,0.9112,0.8681,0.906,0.9176,0.9258,0.9281,0.9472,0.9805,0.9307,0.9736,0.9069,0.9029,0.9696,0.9244,0.9608,0.9175,0.8887,0.9104,0.7385,0.7912,0.8984,0.8754,0.8949,0.7856,0.8267,0.7953,0.8985,0.8844,0.9382,0.9029,0.8442,0.874,0.8505,0.9508,0.8493,0.6145,0.8559,0.9502,0.8971,0.8144,0.8649,0.794
672,0.9439,0.8351,0.9485,0.8832,0.9688,0.9798,0.9571,0.9784,0.903,0.945,0.9882,0.9648,0.9883,0.936,0.9408,0.93,0.9076,0.9025,0.9248,0.9998,0.9591,0.9402,0.9488,0.9343,0.9749,0.8857,0.9047,0.8384,0.9049,0.8673,0.9166,0.8548,0.8415,0.8941,0.833,0.873,0.8979,0.8431,0.8747,0.9134,0.9495,0.9119,0.9178,0.8994,0.8356,0.9159,0.8951,0.9474,0.8975,0.8853,0.8549,0.6122,0.7257,0.8616,0.8214,0.8067,0.7681,0.7318,0.7409,0.8275,0.8511,0.8322,0.8382,0.717,0.7895,0.794,0.8582,0.7966,0.5373,0.7804,0.8723,0.7984,0.7456,0.803,0.6921
1008,0.9614,0.8663,0.9348,0.8893,0.9264,0.9834,0.9439,0.9514,0.8627,0.9524,0.9329,0.9585,0.9527,0.9198,0.9302,0.8748,0.927,0.9082,0.9177,0.9803,0.9276,0.9104,0.8989,0.9191,0.9602,0.8879,0.9069,0.8052,0.8478,0.842,0.8854,0.8073,0.8061,0.8807,0.7971,0.8442,0.8885,0.8224,0.82,0.9101,0.8727,0.8924,0.9454,0.8854,0.7955,0.8919,0.872,0.9184,0.8475,0.8347,0.8196,0.597,0.6741,0.8123,0.7701,0.7586,0.7341,0.6397,0.6774,0.7711,0.8251,0.8188,0.8111,0.6734,0.7407,0.7928,0.8583,0.7428,0.4958,0.7333,0.8175,0.7122,0.6705,0.789,0.6009
1344,0.9008,0.8183,0.9193,0.8805,0.9547,0.9678,0.9761,0.899,0.8498,0.9275,0.9453,0.9705,0.9343,0.8853,0.9065,0.8764,0.9279,0.8931,0.9134,0.9429,0.9195,0.8834,0.8783,0.8936,0.9905,0.8635,0.8565,0.7848,0.8298,0.7947,0.8668,0.8268,0.7869,0.8132,0.7653,0.8164,0.8314,0.7848,0.833,0.9281,0.8615,0.8844,0.8924,0.8407,0.7202,0.8939,0.8365,0.9124,0.8739,0.7993,0.7986,0.5503,0.6302,0.7894,0.719,0.7449,0.6872,0.5905,0.6299,0.7598,0.7538,0.7745,0.8024,0.5946,0.7036,0.707,0.8001,0.7163,0.5025,0.6581,0.8097,0.6745,0.6525,0.7529,0.5858
1680,0.9273,0.8304,0.8926,0.8388,0.9385,0.9219,0.948,0.9057,0.8833,0.9125,0.9809,0.9489,0.964,0.9004,0.8852,0.8696,0.9023,0.8591,0.8928,0.907,0.9087,0.8982,0.8782,0.8613,0.9885,0.835,0.8756,0.7602,0.7993,0.7484,0.8797,0.7538,0.7553,0.8032,0.7253,0.7788,0.8411,0.7827,0.803,0.8616,0.8106,0.8849,0.8728,0.8707,0.7383,0.8384,0.827,0.9013,0.8037,0.7703,0.7731,0.4778,0.5822,0.7334,0.7423,0.6984,0.6364,0.5557,0.6014,0.7352,0.7633,0.7398,0.7742,0.5535,0.683,0.6747,0.7899,0.6666,0.4421,0.6449,0.784,0.6723,0.5796,0.7178,0.5901
2016,0.8753,0.7983,0.8888,0.8706,0.9248,0.9269,0.9572,0.9144,0.8309,0.91,0.9303,0.9629,0.9502,0.8572,0.8691,0.8686,0.8999,0.8387,0.8844,0.9328,0.883,0.8892,0.8369,0.8632,0.9259,0.8165,0.8705,0.7467,0.8238,0.7784,0.8586,0.7376,0.728,0.7617,0.722,0.7566,0.8232,0.7528,0.7785,0.8798,0.8191,0.8341,0.8642,0.8501,0.7216,0.8568,0.7967,0.891,0.7845,0.7922,0.7795,0.4806,0.5711,0.7381,0.6691,0.671,0.646,0.5136,0.5775,0.6577,0.7779,0.7342,0.7243,0.5023,0.62,0.6831,0.7506,0.653,0.4341,0.5878,0.7357,0.618,0.5267,0.6906,0.5289
2352,0.8793,0.798,0.8957,0.812,0.9276,0.9147,0.9457,0.9181,0.8339,0.8961,0.9472,0.9511,0.9273,0.8778,0.858,0.8597,0.8764,0.8372,0.8851,0.9241,0.8881,0.8509,0.8019,0.8689,0.9548,0.8034,0.8514,0.7382,0.7612,0.7621,0.8136,0.72,0.7525,0.7555,0.6975,0.7341,0.8285,0.7314,0.7393,0.868,0.8308,0.818,0.8584,0.8293,0.6717,0.8067,0.7658,0.8973,0.789,0.7174,0.731,0.491,0.5672,0.6725,0.6556,0.637,0.6013,0.4839,0.5478,0.6235,0.7187,0.6712,0.7229,0.4847,0.6149,0.6554,0.7327,0.5959,0.4132,0.5416,0.7231,0.5937,0.4844,0.7052,0.5178
2688,0.9106,0.7888,0.8518,0.8432,0.9221,0.9308,0.9331,0.9058,0.8048,0.8845,0.9182,0.9441,0.9469,0.8819,0.8477,0.823,0.8811,0.8339,0.867,0.9212,0.8677,0.8627,0.8284,0.818,1.012,0.7824,0.8491,0.7196,0.7867,0.7083,0.7988,0.7069,0.7047,0.739,0.6596,0.7424,0.7765,0.7105,0.7594,0.8425,0.7938,0.8227,0.8556,0.7937,0.6784,0.8226,0.7436,0.8818,0.7422,0.7275,0.7287,0.4485,0.5304,0.6534,0.6257,0.6232,0.6038,0.4414,0.4922,0.6204,0.7078,0.6561,0.6894,0.4741,0.6079,0.6525,0.7074,0.5728,0.3794,0.5313,0.6817,0.5902,0.4736,0.6907,0.471
3024,0.8572,0.7656,0.8511,0.817,0.8826,0.8963,0.9425,0.8976,0.8265,0.8623,0.9169,0.9591,0.9442,0.8798,0.8265,0.7958,0.8534,0.8409,0.8568,0.8968,0.8423,0.8387,0.783,0.8221,0.9959,0.7959,0.8538,0.7376,0.7578,0.7095,0.773,0.6831,0.6601,0.6933,0.6404,0.7206,0.7849,0.7184,0.7479,0.8586,0.7408,0.7901,0.8126,0.8077,0.6716,0.7818,0.7186,0.8768,0.7517,0.7079,0.6932,0.4641,0.5268,0.6556,0.5835,0.6174,0.5715,0.4323,0.5253,0.6084,0.7034,0.6404,0.6999,0.4335,0.5681,0.5911,0.7094,0.5987,0.4095,0.528,0.6684,0.5388,0.4533,0.6452,0.4715
3360,0.8572,0.7768,0.8631,0.775,0.9039,0.9205,0.9464,0.8881,0.7952,0.8457,0.8807,0.9844,0.9038,0.8555,0.8172,0.8114,0.8604,0.8021,0.8416,0.9257,0.8279,0.8366,0.793,0.8006,0.9426,0.7761,0.8469,0.6713,0.741,0.7079,0.7617,0.6884,0.6715,0.6727,0.6391,0.6816,0.773,0.7103,0.7053,0.8213,0.7513,0.7922,0.8183,0.791,0.6375,0.7671,0.6744,0.8697,0.7408,0.696,0.7082,0.4258,0.4963,0.6115,0.5487,0.6096,0.5487,0.411,0.4009,0.5994,0.6899,0.6176,0.7191,0.4073,0.5767,0.5982,0.6947,0.5702,0.3849,0.4927,0.6865,0.5296,0.4392,0.6377,0.4289
